id,full_name,abbreviation,nickname,city,state,year_founded,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,SEASON,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK
1610612737,atlanta hawks,atl,hawks,atlanta,georgia,1949,atlanta hawks,1610612737,70,31,39,0.443,3380.0,2023-24,114.9,116.8,-2.0,102.9,18.3,0.276,0.744,0.501,0.127,22,21,21,21,25,10,28,21,22,4,24,15,10,5
1610612737,atlanta hawks,atl,hawks,atlanta,georgia,1949,atlanta hawks,1610612737,82,41,41,0.5,3971.0,2022-23,113.9,113.6,0.3,103.1,17.6,0.251,0.758,0.502,0.124,1,17,17,17,8,7,22,16,22,8,19,15,3,9
1610612737,atlanta hawks,atl,hawks,atlanta,georgia,1949,atlanta hawks,1610612737,82,43,39,0.524,3941.0,2021-22,114.0,112.1,1.9,100.0,18.1,0.23,0.769,0.501,0.119,1,16,16,16,30,1,26,12,14,16,16,15,1,19
1610612738,boston celtics,bos,celtics,boston,massachusetts,1946,boston celtics,1610612738,71,57,14,0.803,3433.0,2023-24,120.4,108.9,11.5,99.8,19.2,0.249,0.766,0.519,0.12,2,1,1,1,4,1,3,1,14,12,9,4,2,20
1610612738,boston celtics,bos,celtics,boston,massachusetts,1946,boston celtics,1610612738,82,57,25,0.695,3996.0,2022-23,115.7,108.8,7.0,100.6,19.1,0.221,0.785,0.507,0.131,1,2,2,2,1,2,3,1,5,25,1,9,8,21
1610612738,boston celtics,bos,celtics,boston,massachusetts,1946,boston celtics,1610612738,82,51,31,0.622,3981.0,2021-22,112.1,104.0,8.1,99.0,18.2,0.24,0.773,0.513,0.137,1,6,6,6,2,5,2,1,10,8,11,7,14,24
1610612739,cleveland cavaliers,cle,cavaliers,cleveland,ohio,1970,cleveland cavaliers,1610612739,71,43,28,0.606,3433.0,2023-24,112.9,108.9,3.9,99.4,19.9,0.234,0.769,0.506,0.134,2,8,8,8,4,17,4,8,7,20,7,13,18,26
1610612739,cleveland cavaliers,cle,cavaliers,cleveland,ohio,1970,cleveland cavaliers,1610612739,82,51,31,0.622,3976.0,2022-23,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,1,5,5,5,5,8,1,2,11,17,14,18,12,30
1610612739,cleveland cavaliers,cle,cavaliers,cleveland,ohio,1970,cleveland cavaliers,1610612739,82,44,38,0.537,3946.0,2021-22,109.4,107.0,2.4,98.4,18.7,0.24,0.765,0.508,0.146,1,14,14,14,24,18,7,10,7,9,18,10,27,26
1610612740,new orleans pelicans,nop,pelicans,new orleans,louisiana,2002,new orleans pelicans,1610612740,71,44,27,0.62,3413.0,2023-24,115.4,109.5,5.9,100.4,19.5,0.25,0.767,0.513,0.132,2,6,7,7,18,9,6,4,10,11,8,8,14,17
1610612740,new orleans pelicans,nop,pelicans,new orleans,louisiana,2002,new orleans pelicans,1610612740,82,42,40,0.512,3971.0,2022-23,111.8,109.9,1.9,101.4,18.5,0.247,0.774,0.511,0.143,1,15,15,15,8,20,6,13,12,12,6,7,21,16
1610612740,new orleans pelicans,nop,pelicans,new orleans,louisiana,2002,new orleans pelicans,1610612740,82,36,46,0.439,3951.0,2021-22,109.0,110.5,-1.5,99.7,18.1,0.269,0.782,0.52,0.14,1,20,20,20,19,20,20,21,13,3,7,3,21,21
